ECs	E2P2	PRIAM	KOALA	KAAS	INTERPRO	Blast2Go
3.4.14	0,15789474	1,0	1,0	1,0	1,0	0
3.1.2	0,9787234	1,0	1,0	1,0	1,0	0,875
3.1.1	0,94425087	0,95297806	0,93283582	0,87407407	0,91666667	0,94623656
3.4.17	0,90909091	1,0	1,0	1,0	0	0
3.1.7	0,88888889	1,0	0,5	0	0	0,36363636
1.6.99	0,14589665	1,0	0,97435897	0,82051282	0	0,02909091
5.3.99	0,90909091	1,0	1,0	1,0	0,6	0,88
3.1.4	0,84033613	1,0	0,93975904	0,91525424	1,0	0,90909091
3.4.16	0,97826087	1,0	0,92913386	0,92727273	0,93333333	0
3.4.11	0,92307692	1,0	1,0	1,0	1,0	0
5.5.1	0,96296296	0,99502488	0,97727273	0,96296296	1,0	0,94623656
5.4.3	1,0	1,0	1,0	1,0	1,0	1,0
1.13.99	1,0	1,0	1,0	1,0	1,0	1,0
6.1.1	1,0	1,0	1,0	1,0	0,97959184	0,97560975
1.6.2	0,94117647	1,0	1,0	0,54545455	1,0	0,88888889
1.6.3	1,0	0	1,0	0,95652174	0	1,0
1.13.11	0,99453552	1,0	0,95287958	0,94845361	0,96629214	0,98039216
1.6.5	0,95946763	1,0	0,99958899	0,99848255	0,99489796	0,99465241
1.5.99	1,0	1,0	1,0	1,0	1,0	1,0
1.18.1	1,0	1,0	1,0	0,96296296	0	1,0
3.4.19	0,96428571	1,0	0,99082569	1,0	0,96551724	0,98113207
1.7.7	1,0	1,0	1,0	1,0	0	1,0
5.2.1	0,97619048	0,99346405	0,96062992	0,96666667	1,0	0,96644296
1.8.5	1,0	0	1,0	1,0	0	1,0
4.99.1	0,51612904	0,94736842	0,66666667	0,78260869	1,0	0,9
6.5.1	0,88888889	0,8	1,0	1,0	1,0	0,43478261
1.10.9	0,24657534	1,0	1,0	1,0	1,0	1,0
3.5.5	0,94736842	1,0	1,0	1,0	0	1,0
3.5.4	0,94339622	0,96	0,89361702	0,91304348	0,94117647	0,87272727
1.10.2	0,57142857	1,0	1,0	1,0	0,83333333	0,54054054
1.10.3	0,80567376	1,0	0,99651568	1,0	0,94117647	0,9875
3.5.1	0,82432433	0,98969072	0,96644296	0,96183206	0,76923077	0,84057971
1.16.1	1,0	1,0	1,0	1,0	0	1,0
1.16.3	1,0	1,0	1,0	0,96551724	1,0	1,0
4.3.2	0,66666667	1,0	1,0	1,0	1,0	1,0
4.3.3	0,78571428	0,96551724	0,94444444	0,97297297	0,72727273	0,78431373
4.3.1	1,0	1,0	1,0	1,0	1,0	0,99145299
3.7.1	0,93333333	1,0	1,0	1,0	1,0	1,0
3.5.3	1,0	1,0	1,0	0,96	1,0	0,90909091
2.8.2	1,0	1,0	1,0	1,0	1,0	1,0
2.8.1	0,87912088	1,0	1,0	1,0	1,0	0,94117647
5.4.4	1,0	1,0	0,85714286	0,66666667	1,0	1,0
3.3.1	1,0	1,0	1,0	1,0	1,0	1,0
4.1.1	0,99511514	1,0	0,99927378	0,99727024	1,0	0,98950315
4.1.2	1,0	1,0	0,95774648	0,96296296	1,0	0,97674418
4.1.3	1,0	1,0	1,0	0,96551724	1,0	1,0
5.4.99	0,99378882	0,98387097	0,97810219	1,0	1,0	0,96551724
3.13.1	1,0	1,0	1,0	1,0	0	1,0
1.16.5	0,66666667	0,66666667	0,66666667	0,66666667	0	0
1.21.3	0,76923077	0,90909091	0	0	0	0,83333333
3.1.3	0,95752896	0,9874477	0,96539162	0,96039604	0,94871795	0,90521327
1.14.99	1,0	1,0	1,0	1,0	1,0	0,66666667
2.7.2	1,0	1,0	1,0	0,95454546	1,0	0,92592593
1.11.2	0,95238095	0,95238095	0,95238095	1,0	0	1,0
1.11.1	0,98969072	1,0	0,99561404	0,99726027	1,0	0,93506493
6.2.1	1,0	1,0	0,96124031	0,94845361	0	0,9906542
