ECs	E2P2	PRIAM	KOALA	KAAS	INTERPRO	Blast2Go
3.6.1.13	0,53333333	0,88888889	0,54545455	0,54545455	0	0,88888889
4.2.3.67	1,0	1,0	0	0	0	0
1.14.13.206	0	0	1,0	0,66666667	0	0
4.2.3.65	0,4	1,0	0	0	0	0,4
4.2.3.61	1,0	1,0	0	0	0	1,0
4.2.3.60	1,0	0,66666667	0	0	0	0,66666667
2.3.1.92	0,66666667	0	0	1,0	0	0,66666667
4.2.3.69	0	1,0	0	1,0	0	1,0
4.2.3.68	0	1,0	0	0	0	0
1.23.5.1	1,0	1,0	1,0	0,4	0	1,0
1.14.13.37	1,0	1,0	0	0	0	0,5
4.2.3.29	1,0	1,0	0	0	0	1,0
2.4.1.21	1,0	0,69565217	0,85714286	0,6875	0	0,75
2.4.1.25	1,0	1,0	1,0	1,0	0,57142857	1,0
2.1.1.104	0,91803279	0,96428571	0,90909091	0,19354839	0	0,98181818
4.2.3.22	0,28571429	1,0	0	0	0	1,0
2.1.1.100	1,0	1,0	1,0	1,0	0	1,0
1.11.1.9	0,75	0,53846154	0,53846154	0,53846154	0,56	0,4375
2.3.1.51	0,96551724	1,0	0,75862069	0,83870968	0	1,0
1.11.1.7	0,98859315	0,88627451	0,79151943	0,60082305	0,53932585	0,60146699
4.2.3.24	1,0	1,0	0	0	0	1,0
3.6.3.25	0,06451612	1,0	1,0	1,0	1,0	1,0
3.1.3.18	0,85714286	1,0	1,0	1,0	0	1,0
3.1.3.16	0,96732026	0,95964125	0,75338753	0,57142858	0	0,90427698
3.1.3.15	1,0	0,33333333	1,0	1,0	0	1,0
3.1.3.12	0,85714286	1,0	0,79245283	0,69387755	0	0,85714286
3.1.3.11	1,0	1,0	1,0	0,92307692	0,48	0,84444444
1.14.19.29	0	0	1,0	0,66666667	0	0
1.14.19.20	1,0	1,0	1,0	1,0	0	0
1.14.19.22	0	0	0,0909091	1,0	0	0,5
1.14.19.23	0	0	1,0	1,0	0	0
1.14.19.25	0	0	0,25	0,2	0	0
1.14.19.26	0	0	0,04651162	0	0	0
2.7.8.11	1,0	1,0	1,0	1,0	0	1,0
3.5.99.2	1,0	0	0	0	0	0,85714286
3.5.99.7	1,0	1,0	0	0	0	1,0
2.7.1.159	0,64	1,0	1,0	0,52173913	0,52173913	1,0
2.7.1.158	1,0	1,0	1,0	1,0	0,8	1,0
3.1.1.11	0,94505494	0,99415205	0,83221477	0,47368421	0,13186814	0,97674418
3.1.1.14	1,0	1,0	0,83333333	0,44444445	0,33333333	1,0
2.7.1.150	1,0	0,85714286	1,0	1,0	0	1,0
5.1.3.2	0,96296296	0,78787879	1,0	0,86666667	0,60869565	0,78787879
3.2.2.9	0,66666667	1,0	0	0	0	0,66666667
5.1.3.1	1,0	1,0	1,0	1,0	0,4	1,0
2.7.11.22	0,96842105	0,89887641	0,95555556	0,81012658	0	0,85057471
2.7.11.23	0,95454545	0,85	0,45614035	0,55737705	0	0,83950617
1.1.1.267	1,0	1,0	1,0	1,0	0	1,0
4.2.99.18	0,77777778	0,92307692	0,71428571	0,71428571	0	0,92307692
5.1.3.5	0,84210526	0,9	0,82352941	0,46153846	0	0,9
2.7.7.80	0,8	1,0	1,0	0,85714286	0	1,0
2.7.7.83	1,0	1,0	1,0	1,0	0	0
1.2.1.44	0,85714286	0,8	1,0	0,8	0	0,8
1.2.1.41	1,0	1,0	1,0	0,93333333	0,4	0,8
1.1.1.318	1,0	1,0	0	0	0	0
1.1.1.319	1,0	1,0	0	0	0	0
1.1.1.316	1,0	1,0	1,0	1,0	0	0
1.1.1.317	0,11764706	1,0	0	0	0	0
1.1.1.314	0,33333333	1,0	0	0	0	0,90909091
6.2.1.45	0	0	0,66666667	0,66666667	0	0,90909091
4.1.1.50	1,0	1,0	1,0	0,73170732	0,86956522	1,0
1.1.1.81	0,66666667	1,0	0	0	0	0,8
1.1.1.82	0,94117647	1,0	1,0	0,2	0,36363636	1,0
1.1.1.85	1,0	0,88888889	0,88888889	0,88888889	0,88888889	1,0
1.1.1.86	1,0	0,88888889	0,88888889	0,88888889	0,4	1,0
5.4.99.8	0,95238095	1,0	0,8	0,18181818	0	0,9
5.4.99.7	1,0	1,0	0	0,15384615	0	1,0
5.4.99.5	1,0	1,0	1,0	1,0	1,0	0,85714286
2.3.2.23	0	0	0,85365854	0,83950617	0	0
2.3.2.27	0	0	0,57575757	0,50917431	0	0
2.3.2.26	0	0	1,0	1,0	0	0
2.4.1.265	1,0	1,0	1,0	1,0	0	0
2.4.1.267	1,0	1,0	1,0	1,0	0	0
2.4.1.260	1,0	1,0	1,0	1,0	0	1,0
2.4.1.261	1,0	1,0	1,0	1,0	0	1,0
2.4.1.263	0,28571429	1,0	1,0	0	0	0
2.1.1.14	1,0	0,88888889	0,88888889	0,88888889	0,66666667	1,0
2.1.1.12	1,0	1,0	1,0	0,4	0	1,0
2.1.1.11	1,0	1,0	1,0	1,0	0	1,0
2.1.1.10	0,94117647	0,88888889	0,88888889	0,88888889	0	0
5.1.3.18	1,0	1,0	1,0	0,4	0,4	1,0
5.1.3.15	1,0	1,0	1,0	1,0	0	1,0
5.1.3.13	1,0	0,4	0	0	0	1,0
5.3.1.24	1,0	1,0	1,0	1,0	0,5	1,0
5.3.1.23	1,0	1,0	1,0	0,94117647	0	1,0
3.4.21.89	0,6	1,0	1,0	1,0	0	0
2.8.2.20	1,0	1,0	1,0	1,0	0	1,0
2.8.2.24	0,5	0	1,0	1,0	0	0,5
2.8.2.25	0,28571429	0,66666667	0	0	0	0,4
2.8.2.27	0,66666667	1,0	0	0	0	0,4
4.2.1.47	1,0	1,0	1,0	1,0	0	1,0
4.2.3.58	0	1,0	0	0	0	0
4.2.3.59	1,0	1,0	0	0	0	0
4.2.3.52	0,5	1,0	0	0	0	0
4.2.3.53	0	1,0	0	0	0	1,0
