EC           	PROG        	TP    	FP    	FN    	SENS        	PREC        	F1SCORE     	N     	ZSCORE         
1.4          	E2P2         	40     	1      	0      	1.0          	0.97560976   	0.98765432   	6      	-1.38753437     
1.4          	PRIAM        	37     	0      	0      	1.0          	1.0          	1.0          	6      	0.70702393      
1.4          	KOALA        	40     	0      	0      	1.0          	1.0          	1.0          	6      	0.70702393      
1.4          	KAAS         	36     	0      	0      	1.0          	1.0          	1.0          	6      	0.70702393      
1.4          	INTERPRO     	14     	0      	0      	1.0          	1.0          	1.0          	6      	0.70702393      
1.4          	Blast2Go     	39     	1      	0      	1.0          	0.975        	0.98734177   	6      	-1.44056136     
1.5          	E2P2         	50     	10     	0      	1.0          	0.83333333   	0.90909091   	6      	-1.81241675     
1.5          	PRIAM        	49     	0      	0      	1.0          	1.0          	1.0          	6      	0.79387578      
1.5          	KOALA        	46     	0      	0      	1.0          	1.0          	1.0          	6      	0.79387578      
1.5          	KAAS         	28     	1      	0      	1.0          	0.96551724   	0.98245614   	6      	0.29090703      
1.5          	INTERPRO     	13     	0      	0      	1.0          	1.0          	1.0          	6      	0.79387578      
1.5          	Blast2Go     	49     	6      	0      	1.0          	0.89090909   	0.94230769   	6      	-0.86011764     
1.6          	E2P2         	817    	68     	0      	1.0          	0.92316384   	0.960047     	6      	-0.33124134     
1.6          	PRIAM        	585    	0      	0      	1.0          	1.0          	1.0          	6      	0.73208842      
1.6          	KOALA        	1236   	2      	0      	1.0          	0.99838449   	0.99919159   	6      	0.71057298      
1.6          	KAAS         	678    	17     	0      	1.0          	0.97553957   	0.98761835   	6      	0.4025568       
1.6          	INTERPRO     	334    	4      	0      	1.0          	0.98816568   	0.99404762   	6      	0.57366871      
1.6          	Blast2Go     	1135   	269    	0      	1.0          	0.80840456   	0.89405278   	6      	-2.08764556     
1.7          	E2P2         	37     	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
1.7          	PRIAM        	33     	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
1.7          	KOALA        	35     	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
1.7          	KAAS         	11     	1      	0      	1.0          	0.91666667   	0.95652174   	6      	-2.23606798     
1.7          	INTERPRO     	3      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
1.7          	Blast2Go     	37     	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
1.1          	E2P2         	410    	14     	0      	1.0          	0.96698113   	0.98321343   	6      	0.47253695      
1.1          	PRIAM        	352    	2      	0      	1.0          	0.99435028   	0.99716714   	6      	0.9233214       
1.1          	KOALA        	373    	14     	0      	1.0          	0.96382429   	0.98157895   	6      	0.41973392      
1.1          	KAAS         	281    	12     	0      	1.0          	0.95904437   	0.97909408   	6      	0.33945844      
1.1          	INTERPRO     	92     	20     	0      	1.0          	0.82142857   	0.90196078   	6      	-2.15238722     
1.1          	Blast2Go     	369    	24     	0      	1.0          	0.9389313    	0.96850394   	6      	-0.0026635      
1.2          	E2P2         	140    	6      	0      	1.0          	0.95890411   	0.97902098   	6      	-0.08864782     
1.2          	PRIAM        	118    	1      	0      	1.0          	0.99159664   	0.99578059   	6      	0.68331164      
1.2          	KOALA        	134    	3      	0      	1.0          	0.97810219   	0.98892989   	6      	0.36776357      
1.2          	KAAS         	116    	3      	0      	1.0          	0.97478992   	0.98723404   	6      	0.28965152      
1.2          	INTERPRO     	41     	0      	0      	1.0          	1.0          	1.0          	6      	0.87766064      
1.2          	Blast2Go     	136    	19     	0      	1.0          	0.87741935   	0.9347079    	6      	-2.12973954     
1.3          	E2P2         	192    	49     	0      	1.0          	0.7966805    	0.88683603   	6      	-1.23841552     
1.3          	PRIAM        	151    	0      	0      	1.0          	1.0          	1.0          	6      	0.72274279      
1.3          	KOALA        	165    	0      	0      	1.0          	1.0          	1.0          	6      	0.72274279      
1.3          	KAAS         	112    	1      	0      	1.0          	0.99115044   	0.99555555   	6      	0.64571943      
1.3          	INTERPRO     	21     	0      	0      	1.0          	1.0          	1.0          	6      	0.72274279      
1.3          	Blast2Go     	121    	37     	0      	1.0          	0.76582278   	0.86738351   	6      	-1.57553229     
3.13         	E2P2         	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
3.13         	PRIAM        	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
3.13         	KOALA        	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
3.13         	KAAS         	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
3.13         	Blast2Go     	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
1.8          	E2P2         	83     	65     	0      	1.0          	0.56081081   	0.71861472   	6      	-1.44080547     
1.8          	PRIAM        	73     	2      	0      	1.0          	0.97333333   	0.98648648   	6      	0.68909786      
