EC           	PROG        	TP    	FP    	FN    	SENS        	PREC        	F1SCORE     	N     	ZSCORE         
5.5.1        	KAAS         	26     	2      	0      	1.0          	0.92857143   	0.96296296   	6      	-0.58804102     
5.5.1        	INTERPRO     	7      	0      	0      	1.0          	1.0          	1.0          	6      	1.37163545      
5.5.1        	Blast2Go     	88     	10     	0      	1.0          	0.89795918   	0.94623656   	6      	-1.47305593     
5.4.3        	E2P2         	10     	0      	0      	1.0          	1.0          	1.0          	6      	0.0             
5.4.3        	PRIAM        	10     	0      	0      	1.0          	1.0          	1.0          	6      	0.0             
5.4.3        	KOALA        	8      	0      	0      	1.0          	1.0          	1.0          	6      	0.0             
5.4.3        	KAAS         	8      	0      	0      	1.0          	1.0          	1.0          	6      	0.0             
5.4.3        	INTERPRO     	4      	0      	0      	1.0          	1.0          	1.0          	6      	0.0             
5.4.3        	Blast2Go     	8      	0      	0      	1.0          	1.0          	1.0          	6      	0.0             
1.13.99      	E2P2         	5      	0      	0      	1.0          	1.0          	1.0          	6      	0.0             
1.13.99      	PRIAM        	5      	0      	0      	1.0          	1.0          	1.0          	6      	0.0             
1.13.99      	KOALA        	5      	0      	0      	1.0          	1.0          	1.0          	6      	0.0             
1.13.99      	KAAS         	5      	0      	0      	1.0          	1.0          	1.0          	6      	0.0             
1.13.99      	INTERPRO     	3      	0      	0      	1.0          	1.0          	1.0          	6      	0.0             
1.13.99      	Blast2Go     	5      	0      	0      	1.0          	1.0          	1.0          	6      	0.0             
6.1.1        	E2P2         	61     	0      	0      	1.0          	1.0          	1.0          	6      	0.70295338      
6.1.1        	PRIAM        	59     	0      	0      	1.0          	1.0          	1.0          	6      	0.70295338      
6.1.1        	KOALA        	61     	0      	0      	1.0          	1.0          	1.0          	6      	0.70295338      
6.1.1        	KAAS         	61     	0      	0      	1.0          	1.0          	1.0          	6      	0.70295338      
6.1.1        	INTERPRO     	24     	1      	0      	1.0          	0.96         	0.97959184   	6      	-1.2184521      
6.1.1        	Blast2Go     	60     	3      	0      	1.0          	0.95238095   	0.97560975   	6      	-1.59336143     
1.6.2        	E2P2         	8      	1      	0      	1.0          	0.88888889   	0.94117647   	6      	0.27939868      
1.6.2        	PRIAM        	8      	0      	0      	1.0          	1.0          	1.0          	6      	0.64255584      
1.6.2        	KOALA        	6      	0      	0      	1.0          	1.0          	1.0          	6      	0.64255584      
1.6.2        	KAAS         	6      	10     	0      	1.0          	0.375        	0.54545455   	6      	-2.16365851     
1.6.2        	INTERPRO     	1      	0      	0      	1.0          	1.0          	1.0          	6      	0.64255584      
1.6.2        	Blast2Go     	8      	2      	0      	1.0          	0.8          	0.88888889   	6      	-0.04340767     
1.6.3        	KAAS         	11     	1      	0      	1.0          	0.91666667   	0.95652174   	4      	-1.73205081     
1.6.3        	Blast2Go     	7      	0      	0      	1.0          	1.0          	1.0          	4      	0.57735027      
1.6.3        	E2P2         	16     	0      	0      	1.0          	1.0          	1.0          	4      	0.57735027      
1.6.3        	KOALA        	14     	0      	0      	1.0          	1.0          	1.0          	4      	0.57735027      
1.13.11      	E2P2         	91     	1      	0      	1.0          	0.98913043   	0.99453552   	6      	1.06202738      
1.13.11      	PRIAM        	83     	0      	0      	1.0          	1.0          	1.0          	6      	1.34135141      
1.13.11      	KOALA        	91     	9      	0      	1.0          	0.91         	0.95287958   	6      	-1.06727038     
1.13.11      	KAAS         	46     	5      	0      	1.0          	0.90196078   	0.94845361   	6      	-1.29350961     
1.13.11      	INTERPRO     	43     	3      	0      	1.0          	0.93478261   	0.96629214   	6      	-0.38166986     
1.13.11      	Blast2Go     	75     	3      	0      	1.0          	0.96153846   	0.98039216   	6      	0.33907107      
1.6.5        	E2P2         	793    	67     	0      	1.0          	0.92209302   	0.95946763   	6      	-2.21195655     
1.6.5        	PRIAM        	577    	0      	0      	1.0          	1.0          	1.0          	6      	0.61505847      
1.6.5        	KOALA        	1216   	1      	0      	1.0          	0.99917831   	0.99958899   	6      	0.58639172      
1.6.5        	KAAS         	658    	2      	0      	1.0          	0.9969697    	0.99848255   	6      	0.50922074      
1.6.5        	INTERPRO     	195    	2      	0      	1.0          	0.98984772   	0.99489796   	6      	0.25920601      
1.6.5        	Blast2Go     	1116   	12     	0      	1.0          	0.9893617    	0.99465241   	6      	0.24207961      
1.5.99       	E2P2         	20     	0      	0      	1.0          	1.0          	1.0          	6      	0.0             
1.5.99       	PRIAM        	20     	0      	0      	1.0          	1.0          	1.0          	6      	0.0             
1.5.99       	KOALA        	20     	0      	0      	1.0          	1.0          	1.0          	6      	0.0             
1.5.99       	KAAS         	7      	0      	0      	1.0          	1.0          	1.0          	6      	0.0             
1.5.99       	INTERPRO     	3      	0      	0      	1.0          	1.0          	1.0          	6      	0.0             
1.5.99       	Blast2Go     	20     	0      	0      	1.0          	1.0          	1.0          	6      	0.0             
1.18.1       	E2P2         	19     	0      	0      	1.0          	1.0          	1.0          	5      	0.5             
1.18.1       	PRIAM        	18     	0      	0      	1.0          	1.0          	1.0          	5      	0.5             
1.18.1       	KOALA        	18     	0      	0      	1.0          	1.0          	1.0          	5      	0.5             
1.18.1       	KAAS         	13     	1      	0      	1.0          	0.92857143   	0.96296296   	5      	-2.0            
1.18.1       	Blast2Go     	19     	0      	0      	1.0          	1.0          	1.0          	5      	0.5             
3.4.19       	E2P2         	54     	4      	0      	1.0          	0.93103448   	0.96428571   	6      	-1.31586911     
3.4.19       	PRIAM        	50     	0      	0      	1.0          	1.0          	1.0          	6      	1.11395089      
3.4.19       	KOALA        	54     	1      	0      	1.0          	0.98181818   	0.99082569   	6      	0.48977716      
3.4.19       	KAAS         	51     	0      	0      	1.0          	1.0          	1.0          	6      	1.11395089      
3.4.19       	INTERPRO     	14     	1      	0      	1.0          	0.93333333   	0.96551724   	6      	-1.23208202     
3.4.19       	Blast2Go     	52     	2      	0      	1.0          	0.96296296   	0.98113207   	6      	-0.16972781     
1.7.7        	E2P2         	6      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
1.7.7        	PRIAM        	5      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
1.7.7        	KOALA        	5      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
1.7.7        	KAAS         	4      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
1.7.7        	Blast2Go     	6      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
5.2.1        	E2P2         	82     	4      	0      	1.0          	0.95348837   	0.97619048   	6      	-0.07114841     
5.2.1        	PRIAM        	76     	1      	0      	1.0          	0.98701299   	0.99346405   	6      	1.10845268      
5.2.1        	KOALA        	61     	5      	0      	1.0          	0.92424242   	0.96062992   	6      	-1.13376914     
5.2.1        	KAAS         	58     	4      	0      	1.0          	0.93548387   	0.96666667   	6      	-0.72152333     
5.2.1        	INTERPRO     	23     	0      	0      	1.0          	1.0          	1.0          	6      	1.55478855      
5.2.1        	Blast2Go     	72     	5      	0      	1.0          	0.93506494   	0.96644296   	6      	-0.73680034     
1.8.5        	KAAS         	3      	0      	0      	1.0          	1.0          	1.0          	4      	0.0             
1.8.5        	Blast2Go     	5      	0      	0      	1.0          	1.0          	1.0          	4      	0.0             
1.8.5        	E2P2         	6      	0      	0      	1.0          	1.0          	1.0          	4      	0.0             
1.8.5        	KOALA        	6      	0      	0      	1.0          	1.0          	1.0          	4      	0.0             
4.99.1       	E2P2         	8      	15     	0      	1.0          	0.34782609   	0.51612904   	6      	-1.69732938     
4.99.1       	PRIAM        	9      	1      	0      	1.0          	0.9          	0.94736842   	6      	0.8619569       
4.99.1       	KOALA        	8      	8      	0      	1.0          	0.5          	0.66666667   	6      	-0.80393024     
4.99.1       	KAAS         	9      	5      	0      	1.0          	0.64285714   	0.78260869   	6      	-0.11584647     
4.99.1       	INTERPRO     	6      	0      	0      	1.0          	1.0          	1.0          	6      	1.17431075      
4.99.1       	Blast2Go     	9      	2      	0      	1.0          	0.81818182   	0.9          	6      	0.58083845      
6.5.1        	E2P2         	4      	1      	0      	1.0          	0.8          	0.88888889   	6      	0.17334254      
6.5.1        	PRIAM        	4      	2      	0      	1.0          	0.66666667   	0.8          	6      	-0.26760253     
6.5.1        	KOALA        	4      	0      	0      	1.0          	1.0          	1.0          	6      	0.72452387      
6.5.1        	KAAS         	2      	0      	0      	1.0          	1.0          	1.0          	6      	0.72452387      
6.5.1        	INTERPRO     	3      	0      	0      	1.0          	1.0          	1.0          	6      	0.72452387      
6.5.1        	Blast2Go     	5      	13     	0      	1.0          	0.27777778   	0.43478261   	6      	-2.0793116      
1.10.9       	E2P2         	9      	55     	0      	1.0          	0.140625     	0.24657534   	6      	-2.23606798     
1.10.9       	PRIAM        	9      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
1.10.9       	KOALA        	9      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
1.10.9       	KAAS         	5      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
1.10.9       	INTERPRO     	2      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
1.10.9       	Blast2Go     	9      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
3.5.5        	E2P2         	9      	1      	0      	1.0          	0.9          	0.94736842   	5      	-2.0            
3.5.5        	PRIAM        	9      	0      	0      	1.0          	1.0          	1.0          	5      	0.5             
3.5.5        	KOALA        	9      	0      	0      	1.0          	1.0          	1.0          	5      	0.5             
3.5.5        	KAAS         	8      	0      	0      	1.0          	1.0          	1.0          	5      	0.5             
3.5.5        	Blast2Go     	9      	0      	0      	1.0          	1.0          	1.0          	5      	0.5             
3.5.4        	E2P2         	25     	3      	0      	1.0          	0.89285714   	0.94339622   	6      	0.74605725      
3.5.4        	PRIAM        	24     	2      	0      	1.0          	0.92307692   	0.96         	6      	1.2908889       
3.5.4        	KOALA        	21     	5      	0      	1.0          	0.80769231   	0.89361702   	6      	-0.88738306     
3.5.4        	KAAS         	21     	4      	0      	1.0          	0.84         	0.91304348   	6      	-0.24992881     
3.5.4        	INTERPRO     	8      	1      	0      	1.0          	0.88888889   	0.94117647   	6      	0.67321901      
3.5.4        	Blast2Go     	24     	7      	0      	1.0          	0.77419355   	0.87272727   	6      	-1.57285329     
1.10.2       	E2P2         	10     	15     	0      	1.0          	0.4          	0.57142857   	6      	-1.27149747     
1.10.2       	PRIAM        	9      	0      	0      	1.0          	1.0          	1.0          	6      	0.88416816      
1.10.2       	KOALA        	9      	0      	0      	1.0          	1.0          	1.0          	6      	0.88416816      
1.10.2       	KAAS         	9      	0      	0      	1.0          	1.0          	1.0          	6      	0.88416816      
1.10.2       	INTERPRO     	5      	2      	0      	1.0          	0.71428571   	0.83333333   	6      	0.04585374      
1.10.2       	Blast2Go     	10     	17     	0      	1.0          	0.37037037   	0.54054054   	6      	-1.42686075     
1.10.3       	E2P2         	284    	137    	0      	1.0          	0.67458432   	0.80567376   	6      	-2.13823788     
1.10.3       	PRIAM        	284    	0      	0      	1.0          	1.0          	1.0          	6      	0.641679        
1.10.3       	KOALA        	286    	2      	0      	1.0          	0.99305556   	0.99651568   	6      	0.59183436      
1.10.3       	KAAS         	233    	0      	0      	1.0          	1.0          	1.0          	6      	0.641679        
1.10.3       	INTERPRO     	8      	1      	0      	1.0          	0.88888889   	0.94117647   	6      	-0.19981582     
1.10.3       	Blast2Go     	79     	2      	0      	1.0          	0.97530864   	0.9875       	6      	0.46286135      
3.5.1        	E2P2         	61     	26     	0      	1.0          	0.70114943   	0.82432433   	6      	-0.80660494     
3.5.1        	PRIAM        	48     	1      	0      	1.0          	0.97959184   	0.98969072   	6      	1.1638569       
3.5.1        	KOALA        	72     	5      	0      	1.0          	0.93506494   	0.96644296   	6      	0.88684279      
3.5.1        	KAAS         	63     	5      	0      	1.0          	0.92647059   	0.96183206   	6      	0.83190053      
3.5.1        	INTERPRO     	10     	6      	0      	1.0          	0.625        	0.76923077   	6      	-1.46308512     
3.5.1        	Blast2Go     	58     	22     	0      	1.0          	0.725        	0.84057971   	6      	-0.61291016     
1.16.1       	E2P2         	8      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
1.16.1       	PRIAM        	8      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
1.16.1       	KOALA        	8      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
1.16.1       	KAAS         	7      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
1.16.1       	Blast2Go     	8      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
1.16.3       	E2P2         	19     	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
1.16.3       	PRIAM        	19     	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
1.16.3       	KOALA        	19     	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
1.16.3       	KAAS         	14     	1      	0      	1.0          	0.93333333   	0.96551724   	6      	-2.23606798     
1.16.3       	INTERPRO     	1      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
1.16.3       	Blast2Go     	19     	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
4.3.2        	E2P2         	1      	1      	0      	1.0          	0.5          	0.66666667   	6      	-2.23606798     
4.3.2        	PRIAM        	1      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
4.3.2        	KOALA        	1      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
4.3.2        	KAAS         	1      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
4.3.2        	INTERPRO     	1      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
4.3.2        	Blast2Go     	4      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
4.3.3        	E2P2         	22     	12     	0      	1.0          	0.64705882   	0.78571428   	6      	-0.77773276     
4.3.3        	PRIAM        	14     	1      	0      	1.0          	0.93333333   	0.96551724   	6      	1.02295924      
4.3.3        	KOALA        	17     	2      	0      	1.0          	0.89473684   	0.94444444   	6      	0.81191921      
4.3.3        	KAAS         	18     	1      	0      	1.0          	0.94736842   	0.97297297   	6      	1.09762694      
4.3.3        	INTERPRO     	4      	3      	0      	1.0          	0.57142857   	0.72727273   	6      	-1.36301362     
4.3.3        	Blast2Go     	20     	11     	0      	1.0          	0.64516129   	0.78431373   	6      	-0.791759       
4.3.1        	E2P2         	55     	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
4.3.1        	PRIAM        	54     	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
4.3.1        	KOALA        	55     	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
4.3.1        	KAAS         	35     	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
4.3.1        	INTERPRO     	18     	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
4.3.1        	Blast2Go     	58     	1      	0      	1.0          	0.98305085   	0.99145299   	6      	-2.23606798     
3.7.1        	E2P2         	7      	1      	0      	1.0          	0.875        	0.93333333   	6      	-2.23606798     
3.7.1        	PRIAM        	3      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
3.7.1        	KOALA        	6      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
3.7.1        	KAAS         	6      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
3.7.1        	INTERPRO     	2      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
3.7.1        	Blast2Go     	7      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
3.5.3        	E2P2         	12     	0      	0      	1.0          	1.0          	1.0          	6      	0.63839421      
3.5.3        	PRIAM        	12     	0      	0      	1.0          	1.0          	1.0          	6      	0.63839421      
3.5.3        	KOALA        	12     	0      	0      	1.0          	1.0          	1.0          	6      	0.63839421      
3.5.3        	KAAS         	12     	1      	0      	1.0          	0.92307692   	0.96         	6      	-0.53199519     
