EC           	PROG        	TP    	FP    	FN    	SENS        	PREC        	F1SCORE     	N     	ZSCORE         
3.1.22.4     	Blast2Go     	1      	4      	0      	1.0          	0.2          	0.33333333   	1      	0.0             
4.6.1.16     	E2P2         	3      	0      	0      	1.0          	1.0          	1.0          	6      	0.58461282      
4.6.1.16     	PRIAM        	3      	0      	0      	1.0          	1.0          	1.0          	6      	0.58461282      
4.6.1.16     	KOALA        	3      	0      	0      	1.0          	1.0          	1.0          	6      	0.58461282      
4.6.1.16     	KAAS         	3      	0      	0      	1.0          	1.0          	1.0          	6      	0.58461282      
4.6.1.16     	INTERPRO     	1      	0      	2      	0.33333333   	1.0          	0.5          	6      	-2.14358035     
4.6.1.16     	Blast2Go     	3      	1      	0      	1.0          	0.75         	0.85714286   	6      	-0.19487093     
4.6.1.17     	Blast2Go     	1      	0      	0      	1.0          	1.0          	1.0          	3      	0.0             
4.6.1.17     	KOALA        	1      	0      	0      	1.0          	1.0          	1.0          	3      	0.0             
4.6.1.17     	KAAS         	1      	0      	0      	1.0          	1.0          	1.0          	3      	0.0             
4.6.1.12     	E2P2         	3      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
4.6.1.12     	PRIAM        	3      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
4.6.1.12     	KOALA        	3      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
4.6.1.12     	KAAS         	3      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
4.6.1.12     	INTERPRO     	1      	0      	2      	0.33333333   	1.0          	0.5          	6      	-2.23606798     
4.6.1.12     	Blast2Go     	3      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
1.14.19.52   	KAAS         	1      	0      	0      	1.0          	1.0          	1.0          	1      	0.0             
1.1.5.3      	E2P2         	1      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
1.1.5.3      	PRIAM        	1      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
1.1.5.3      	KOALA        	1      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
1.1.5.3      	KAAS         	1      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
1.1.5.3      	Blast2Go     	1      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
4.2.3.119    	E2P2         	4      	11     	1      	0.8          	0.26666667   	0.4          	2      	-1.0            
4.2.3.119    	PRIAM        	5      	0      	0      	1.0          	1.0          	1.0          	2      	1.0             
4.2.3.114    	PRIAM        	2      	0      	0      	1.0          	1.0          	1.0          	4      	1.0             
4.2.3.114    	Blast2Go     	2      	0      	0      	1.0          	1.0          	1.0          	4      	1.0             
4.2.3.114    	E2P2         	1      	0      	1      	0.5          	1.0          	0.66666667   	4      	-1.0            
4.2.3.114    	KOALA        	1      	0      	1      	0.5          	1.0          	0.66666667   	4      	-1.0            
4.2.3.115    	E2P2         	1      	0      	0      	1.0          	1.0          	1.0          	2      	0.0             
4.2.3.115    	PRIAM        	1      	0      	0      	1.0          	1.0          	1.0          	2      	0.0             
4.2.3.116    	E2P2         	1      	1      	0      	1.0          	0.5          	0.66666667   	2      	-1.0            
4.2.3.116    	PRIAM        	1      	0      	0      	1.0          	1.0          	1.0          	2      	1.0             
4.2.3.117    	PRIAM        	2      	0      	0      	1.0          	1.0          	1.0          	4      	0.94280904      
4.2.3.117    	Blast2Go     	2      	5      	0      	1.0          	0.28571429   	0.44444445   	4      	-1.41421356     
4.2.3.117    	E2P2         	2      	0      	0      	1.0          	1.0          	1.0          	4      	0.94280904      
4.2.3.117    	KOALA        	1      	0      	1      	0.5          	1.0          	0.66666667   	4      	-0.47140452     
4.2.3.110    	E2P2         	2      	0      	0      	1.0          	1.0          	1.0          	2      	0.0             
4.2.3.110    	PRIAM        	2      	0      	0      	1.0          	1.0          	1.0          	2      	0.0             
4.2.3.111    	E2P2         	3      	2      	0      	1.0          	0.6          	0.75         	2      	-1.0            
4.2.3.111    	PRIAM        	3      	0      	0      	1.0          	1.0          	1.0          	2      	1.0             
4.2.3.112    	E2P2         	2      	3      	0      	1.0          	0.4          	0.57142857   	2      	0.0             
4.2.3.112    	PRIAM        	2      	3      	0      	1.0          	0.4          	0.57142857   	2      	0.0             
4.2.3.113    	E2P2         	2      	3      	0      	1.0          	0.4          	0.57142857   	2      	-1.0            
4.2.3.113    	PRIAM        	2      	0      	0      	1.0          	1.0          	1.0          	2      	1.0             
1.17.4.1     	E2P2         	5      	1      	0      	1.0          	0.83333333   	0.90909091   	6      	0.29895169      
1.17.4.1     	PRIAM        	5      	0      	0      	1.0          	1.0          	1.0          	6      	0.69269292      
1.17.4.1     	KOALA        	5      	1      	0      	1.0          	0.83333333   	0.90909091   	6      	0.29895169      
1.17.4.1     	KAAS         	5      	0      	0      	1.0          	1.0          	1.0          	6      	0.69269292      
1.17.4.1     	INTERPRO     	1      	0      	4      	0.2          	1.0          	0.33333333   	6      	-2.19474285     
1.17.4.1     	Blast2Go     	4      	0      	1      	0.8          	1.0          	0.88888889   	6      	0.21145363      
3.1.4.46     	E2P2         	13     	10     	0      	1.0          	0.56521739   	0.72222222   	5      	0.21556766      
3.1.4.46     	PRIAM        	13     	0      	0      	1.0          	1.0          	1.0          	5      	1.0576288       
3.1.4.46     	KOALA        	2      	0      	11     	0.15384615   	1.0          	0.26666666   	5      	-1.16541263     
3.1.4.46     	KAAS         	2      	0      	11     	0.15384615   	1.0          	0.26666666   	5      	-1.16541263     
3.1.4.46     	Blast2Go     	13     	0      	0      	1.0          	1.0          	1.0          	5      	1.0576288       
3.5.1.122    	KOALA        	3      	0      	0      	1.0          	1.0          	1.0          	2      	0.0             
3.5.1.122    	KAAS         	3      	0      	0      	1.0          	1.0          	1.0          	2      	0.0             
3.5.1.127    	KOALA        	2      	5      	0      	1.0          	0.28571429   	0.44444445   	2      	-1.0            
3.5.1.127    	KAAS         	2      	0      	0      	1.0          	1.0          	1.0          	2      	1.0             
1.8.7.2      	E2P2         	6      	2      	0      	1.0          	0.75         	0.85714286   	5      	-2.0            
1.8.7.2      	PRIAM        	6      	0      	0      	1.0          	1.0          	1.0          	5      	0.5             
1.8.7.2      	KOALA        	6      	0      	0      	1.0          	1.0          	1.0          	5      	0.5             
1.8.7.2      	KAAS         	6      	0      	0      	1.0          	1.0          	1.0          	5      	0.5             
1.8.7.2      	Blast2Go     	6      	0      	0      	1.0          	1.0          	1.0          	5      	0.5             
1.8.7.1      	E2P2         	5      	0      	0      	1.0          	1.0          	1.0          	6      	0.59029959      
1.8.7.1      	PRIAM        	5      	0      	0      	1.0          	1.0          	1.0          	6      	0.59029959      
1.8.7.1      	KOALA        	5      	0      	0      	1.0          	1.0          	1.0          	6      	0.59029959      
1.8.7.1      	KAAS         	4      	1      	1      	0.8          	0.8          	0.8          	6      	-0.2270383      
1.8.7.1      	INTERPRO     	1      	0      	4      	0.2          	1.0          	0.33333333   	6      	-2.13416006     
1.8.7.1      	Blast2Go     	5      	0      	0      	1.0          	1.0          	1.0          	6      	0.59029959      
6.3.2.17     	E2P2         	3      	0      	0      	1.0          	1.0          	1.0          	6      	0.86323108      
6.3.2.17     	PRIAM        	3      	1      	0      	1.0          	0.75         	0.85714286   	6      	0.06825549      
6.3.2.17     	KOALA        	3      	0      	0      	1.0          	1.0          	1.0          	6      	0.86323108      
6.3.2.17     	KAAS         	3      	0      	0      	1.0          	1.0          	1.0          	6      	0.86323108      
6.3.2.17     	INTERPRO     	2      	1      	1      	0.66666667   	0.66666667   	0.66666667   	6      	-0.99171198     
6.3.2.17     	Blast2Go     	3      	5      	0      	1.0          	0.375        	0.54545455   	6      	-1.66623673     
3.6.1.18     	E2P2         	1      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
3.6.1.18     	PRIAM        	1      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
3.6.1.18     	KOALA        	1      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
3.6.1.18     	KAAS         	1      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
3.6.1.18     	Blast2Go     	1      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
6.3.2.12     	KAAS         	1      	0      	0      	1.0          	1.0          	1.0          	4      	0.57735027      
6.3.2.12     	Blast2Go     	1      	6      	0      	1.0          	0.14285714   	0.25         	4      	-1.73205081     
6.3.2.12     	E2P2         	1      	0      	0      	1.0          	1.0          	1.0          	4      	0.57735027      
6.3.2.12     	KOALA        	1      	0      	0      	1.0          	1.0          	1.0          	4      	0.57735027      
2.7.7.19     	E2P2         	4      	2      	0      	1.0          	0.66666667   	0.8          	6      	-1.73205082     
2.7.7.19     	PRIAM        	4      	0      	0      	1.0          	1.0          	1.0          	6      	0.69282032      
2.7.7.19     	KOALA        	4      	0      	0      	1.0          	1.0          	1.0          	6      	0.69282032      
2.7.7.19     	KAAS         	4      	0      	0      	1.0          	1.0          	1.0          	6      	0.69282032      
2.7.7.19     	INTERPRO     	3      	0      	1      	0.75         	1.0          	0.85714286   	6      	-1.03923046     
2.7.7.19     	Blast2Go     	4      	0      	0      	1.0          	1.0          	1.0          	6      	0.69282032      
2.7.7.18     	E2P2         	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.7.7.18     	PRIAM        	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.7.7.18     	KOALA        	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.7.7.18     	KAAS         	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.7.7.18     	Blast2Go     	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.7.7.15     	E2P2         	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.7.7.15     	PRIAM        	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.7.7.15     	KOALA        	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.7.7.15     	KAAS         	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.7.7.15     	Blast2Go     	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.7.7.14     	E2P2         	1      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.7.7.14     	PRIAM        	1      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.7.7.14     	KOALA        	1      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.7.7.14     	KAAS         	1      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.7.7.14     	Blast2Go     	1      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.7.7.13     	E2P2         	6      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.7.7.13     	PRIAM        	6      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.7.7.13     	KOALA        	6      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.7.7.13     	KAAS         	6      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.7.7.13     	Blast2Go     	6      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
1.4.3.16     	E2P2         	2      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
1.4.3.16     	PRIAM        	2      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
1.4.3.16     	KOALA        	2      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
1.4.3.16     	KAAS         	2      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
1.4.3.16     	INTERPRO     	1      	0      	1      	0.5          	1.0          	0.66666667   	6      	-2.23606798     
1.4.3.16     	Blast2Go     	2      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
1.4.1.14     	E2P2         	4      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
1.4.1.14     	PRIAM        	4      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
1.4.1.14     	KOALA        	4      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
1.4.1.14     	KAAS         	4      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
1.4.1.14     	Blast2Go     	4      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
1.1.1.234    	E2P2         	2      	0      	11     	0.15384615   	1.0          	0.26666666   	5      	-1.05686604     
1.1.1.234    	PRIAM        	13     	0      	0      	1.0          	1.0          	1.0          	5      	0.84628374      
1.1.1.234    	KOALA        	13     	0      	0      	1.0          	1.0          	1.0          	5      	0.84628374      
1.1.1.234    	KAAS         	1      	0      	12     	0.07692308   	1.0          	0.14285715   	5      	-1.37817701     
1.1.1.234    	Blast2Go     	12     	0      	1      	0.92307692   	1.0          	0.96         	5      	0.74247557      
1.1.1.237    	Blast2Go     	1      	0      	0      	1.0          	1.0          	1.0          	3      	0.0             
1.1.1.237    	E2P2         	1      	0      	0      	1.0          	1.0          	1.0          	3      	0.0             
1.1.1.237    	PRIAM        	1      	0      	0      	1.0          	1.0          	1.0          	3      	0.0             
1.1.1.236    	Blast2Go     	3      	1      	0      	1.0          	0.75         	0.85714286   	3      	1.17294339      
1.1.1.236    	E2P2         	3      	16     	0      	1.0          	0.15789474   	0.27272728   	3      	-1.27068866     
1.1.1.236    	PRIAM        	3      	4      	0      	1.0          	0.42857143   	0.6          	3      	0.09774527      
4.4.1.28     	KOALA        	3      	1      	0      	1.0          	0.75         	0.85714286   	2      	1.0             
4.4.1.28     	KAAS         	1      	1      	2      	0.33333333   	0.5          	0.4          	2      	-1.0            
4.4.1.26     	E2P2         	1      	0      	0      	1.0          	1.0          	1.0          	2      	0.0             
4.4.1.26     	PRIAM        	1      	0      	0      	1.0          	1.0          	1.0          	2      	0.0             
4.2.3.65     	Blast2Go     	2      	6      	0      	1.0          	0.25         	0.4          	3      	-0.70710678     
4.2.3.65     	E2P2         	2      	6      	0      	1.0          	0.25         	0.4          	3      	-0.70710678     
4.2.3.65     	PRIAM        	2      	0      	0      	1.0          	1.0          	1.0          	3      	1.41421356      
2.5.1.79     	E2P2         	1      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.5.1.79     	PRIAM        	1      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.5.1.79     	KOALA        	1      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.5.1.79     	KAAS         	1      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.5.1.79     	Blast2Go     	1      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.5.1.78     	E2P2         	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.5.1.78     	PRIAM        	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.5.1.78     	KOALA        	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.5.1.78     	KAAS         	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.5.1.78     	Blast2Go     	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.5.1.75     	E2P2         	2      	1      	0      	1.0          	0.66666667   	0.8          	5      	-0.17149859     
2.5.1.75     	PRIAM        	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.68599434      
2.5.1.75     	KOALA        	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.68599434      
2.5.1.75     	KAAS         	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.68599434      
2.5.1.75     	Blast2Go     	2      	6      	0      	1.0          	0.25         	0.4          	5      	-1.88648444     
2.5.1.70     	E2P2         	2      	0      	0      	1.0          	1.0          	1.0          	2      	0.0             
2.5.1.70     	PRIAM        	2      	0      	0      	1.0          	1.0          	1.0          	2      	0.0             
2.5.1.72     	PRIAM        	2      	0      	0      	1.0          	1.0          	1.0          	4      	0.0             
2.5.1.72     	KAAS         	2      	0      	0      	1.0          	1.0          	1.0          	4      	0.0             
2.5.1.72     	E2P2         	2      	0      	0      	1.0          	1.0          	1.0          	4      	0.0             
2.5.1.72     	KOALA        	2      	0      	0      	1.0          	1.0          	1.0          	4      	0.0             
2.1.1.41     	E2P2         	2      	5      	0      	1.0          	0.28571429   	0.44444445   	5      	-1.86767383     
2.1.1.41     	PRIAM        	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.6978122       
2.1.1.41     	KOALA        	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.6978122       
2.1.1.41     	KAAS         	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.6978122       
2.1.1.41     	Blast2Go     	2      	1      	0      	1.0          	0.66666667   	0.8          	5      	-0.22576278     
2.1.1.42     	Blast2Go     	2      	14     	0      	1.0          	0.125        	0.22222222   	3      	-1.41421356     
2.1.1.42     	E2P2         	1      	0      	1      	0.5          	1.0          	0.66666667   	3      	0.70710678      
2.1.1.42     	PRIAM        	1      	0      	1      	0.5          	1.0          	0.66666667   	3      	0.70710678      
2.1.1.43     	E2P2         	37     	15     	0      	1.0          	0.71153846   	0.83146067   	6      	0.58595595      
2.1.1.43     	PRIAM        	37     	4      	0      	1.0          	0.90243902   	0.94871795   	6      	1.04070542      
2.1.1.43     	KOALA        	17     	2      	20     	0.45945946   	0.89473684   	0.60714286   	6      	-0.28399776     
2.1.1.43     	KAAS         	17     	4      	20     	0.45945946   	0.80952381   	0.5862069    	6      	-0.36519201     
2.1.1.43     	INTERPRO     	4      	0      	33     	0.10810811   	1.0          	0.19512195   	6      	-1.88190531     
2.1.1.43     	Blast2Go     	37     	7      	0      	1.0          	0.84090909   	0.91358025   	6      	0.90443371      
2.1.1.45     	E2P2         	6      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
2.1.1.45     	PRIAM        	6      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
2.1.1.45     	KOALA        	6      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
2.1.1.45     	KAAS         	6      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
2.1.1.45     	INTERPRO     	3      	0      	3      	0.5          	1.0          	0.66666667   	6      	-2.23606798     
2.1.1.45     	Blast2Go     	6      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
2.1.1.46     	Blast2Go     	4      	6      	0      	1.0          	0.4          	0.57142857   	3      	-1.36938389     
2.1.1.46     	E2P2         	4      	1      	0      	1.0          	0.8          	0.88888889   	3      	0.37876576      
2.1.1.46     	PRIAM        	4      	0      	0      	1.0          	1.0          	1.0          	3      	0.99061813      
6.2.1.12     	E2P2         	17     	0      	2      	0.89473684   	1.0          	0.94444444   	5      	0.52817313      
6.2.1.12     	PRIAM        	19     	0      	0      	1.0          	1.0          	1.0          	5      	0.74532214      
6.2.1.12     	KOALA        	19     	7      	0      	1.0          	0.73076923   	0.84444444   	5      	0.13730496      
6.2.1.12     	KAAS         	4      	3      	15     	0.21052632   	0.57142857   	0.30769231   	5      	-1.96068828     
6.2.1.12     	Blast2Go     	19     	2      	0      	1.0          	0.9047619    	0.95         	5      	0.54988805      
2.7.1.50     	E2P2         	2      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
2.7.1.50     	PRIAM        	2      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
2.7.1.50     	KOALA        	2      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
2.7.1.50     	KAAS         	2      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
2.7.1.50     	INTERPRO     	1      	0      	1      	0.5          	1.0          	0.66666667   	6      	-2.23606798     
2.7.1.50     	Blast2Go     	2      	0      	0      	1.0          	1.0          	1.0          	6      	0.4472136       
2.7.1.52     	E2P2         	1      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.7.1.52     	PRIAM        	1      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.7.1.52     	KOALA        	1      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.7.1.52     	KAAS         	1      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.7.1.52     	Blast2Go     	1      	0      	0      	1.0          	1.0          	1.0          	5      	0.0             
2.4.1.85     	Blast2Go     	1      	0      	0      	1.0          	1.0          	1.0          	3      	0.70710678      
2.4.1.85     	E2P2         	1      	1      	0      	1.0          	0.5          	0.66666667   	3      	-1.41421356     
2.4.1.85     	PRIAM        	1      	0      	0      	1.0          	1.0          	1.0          	3      	0.70710678      
2.3.1.168    	KAAS         	1      	0      	0      	1.0          	1.0          	1.0          	4      	0.0             
2.3.1.168    	Blast2Go     	1      	0      	0      	1.0          	1.0          	1.0          	4      	0.0             
2.3.1.168    	KOALA        	1      	0      	0      	1.0          	1.0          	1.0          	4      	0.0             
2.3.1.168    	PRIAM        	1      	0      	0      	1.0          	1.0          	1.0          	4      	0.0             
3.5.3.11     	Blast2Go     	2      	3      	0      	1.0          	0.4          	0.57142857   	1      	0.0             
2.1.1.320    	KOALA        	2      	1      	0      	1.0          	0.66666667   	0.8          	2      	0.0             
2.1.1.320    	KAAS         	2      	1      	0      	1.0          	0.66666667   	0.8          	2      	0.0             
2.3.1.160    	Blast2Go     	1      	0      	0      	1.0          	1.0          	1.0          	3      	0.70710678      
2.3.1.160    	E2P2         	1      	1      	0      	1.0          	0.5          	0.66666667   	3      	-1.41421356     
2.3.1.160    	PRIAM        	1      	0      	0      	1.0          	1.0          	1.0          	3      	0.70710678      
2.3.1.162    	Blast2Go     	2      	1      	0      	1.0          	0.66666667   	0.8          	3      	0.16222142      
2.3.1.162    	E2P2         	2      	4      	0      	1.0          	0.33333333   	0.5          	3      	-1.29777137     
2.3.1.162    	PRIAM        	2      	0      	0      	1.0          	1.0          	1.0          	3      	1.13554995      
2.3.1.166    	Blast2Go     	1      	2      	0      	1.0          	0.33333333   	0.5          	3      	-1.41421356     
2.3.1.166    	E2P2         	1      	0      	0      	1.0          	1.0          	1.0          	3      	0.70710678      
2.3.1.166    	PRIAM        	1      	0      	0      	1.0          	1.0          	1.0          	3      	0.70710678      
2.3.1.167    	Blast2Go     	1      	0      	0      	1.0          	1.0          	1.0          	3      	0.70710678      
