ECs	E2P2	PRIAM	KOALA	KAAS	INTERPRO	Blast2Go
3.1.22.4	0	0	0	0	0	1,0
4.6.1.16	1,0	1,0	1,0	1,0	0,33333333	1,0
4.6.1.17	0	0	1,0	1,0	0	1,0
4.6.1.12	1,0	1,0	1,0	1,0	0,33333333	1,0
1.14.19.52	0	0	0	1,0	0	0
1.1.5.3	1,0	1,0	1,0	1,0	0	1,0
4.2.3.119	0,8	1,0	0	0	0	0
4.2.3.114	0,5	1,0	0,5	0	0	1,0
4.2.3.115	1,0	1,0	0	0	0	0
4.2.3.116	1,0	1,0	0	0	0	0
4.2.3.117	1,0	1,0	0,5	0	0	1,0
4.2.3.110	1,0	1,0	0	0	0	0
4.2.3.111	1,0	1,0	0	0	0	0
4.2.3.112	1,0	1,0	0	0	0	0
4.2.3.113	1,0	1,0	0	0	0	0
1.17.4.1	1,0	1,0	1,0	1,0	0,2	0,8
3.1.4.46	1,0	1,0	0,15384615	0,15384615	0	1,0
3.5.1.122	0	0	1,0	1,0	0	0
3.5.1.127	0	0	1,0	1,0	0	0
1.8.7.2	1,0	1,0	1,0	1,0	0	1,0
1.8.7.1	1,0	1,0	1,0	0,8	0,2	1,0
6.3.2.17	1,0	1,0	1,0	1,0	0,66666667	1,0
3.6.1.18	1,0	1,0	1,0	1,0	0	1,0
6.3.2.12	1,0	0	1,0	1,0	0	1,0
2.7.7.19	1,0	1,0	1,0	1,0	0,75	1,0
2.7.7.18	1,0	1,0	1,0	1,0	0	1,0
2.7.7.15	1,0	1,0	1,0	1,0	0	1,0
2.7.7.14	1,0	1,0	1,0	1,0	0	1,0
2.7.7.13	1,0	1,0	1,0	1,0	0	1,0
1.4.3.16	1,0	1,0	1,0	1,0	0,5	1,0
1.4.1.14	1,0	1,0	1,0	1,0	0	1,0
1.1.1.234	0,15384615	1,0	1,0	0,07692308	0	0,92307692
1.1.1.237	1,0	1,0	0	0	0	1,0
1.1.1.236	1,0	1,0	0	0	0	1,0
4.4.1.28	0	0	1,0	0,33333333	0	0
4.4.1.26	1,0	1,0	0	0	0	0
1.14.13.205	0	0	0,5	0,5	0	0
2.5.1.79	1,0	1,0	1,0	1,0	0	1,0
2.5.1.78	1,0	1,0	1,0	1,0	0	1,0
2.5.1.75	1,0	1,0	1,0	1,0	0	1,0
2.5.1.70	1,0	1,0	0	0	0	0
2.5.1.72	1,0	1,0	1,0	1,0	0	0
2.1.1.41	1,0	1,0	1,0	1,0	0	1,0
2.1.1.42	0,5	0,5	0	0	0	1,0
2.1.1.43	1,0	1,0	0,45945946	0,45945946	0,10810811	1,0
2.1.1.45	1,0	1,0	1,0	1,0	0,5	1,0
2.1.1.46	1,0	1,0	0	0	0	1,0
6.2.1.12	0,89473684	1,0	1,0	0,21052632	0	1,0
2.7.1.50	1,0	1,0	1,0	1,0	0,5	1,0
2.7.1.52	1,0	1,0	1,0	1,0	0	1,0
2.4.1.85	1,0	1,0	0	0	0	1,0
2.3.1.168	0	1,0	1,0	1,0	0	1,0
3.5.3.11	0	0	0	0	0	1,0
2.1.1.320	0	0	1,0	1,0	0	0
2.3.1.160	1,0	1,0	0	0	0	1,0
2.3.1.162	1,0	1,0	0	0	0	1,0
2.3.1.166	1,0	1,0	0	0	0	1,0
2.3.1.167	1,0	1,0	0	0	0	1,0
1.14.13.39	1,0	0,5	1,0	0,5	0	0,5
2.4.1.239	0	0	0	0	0	1,0
2.4.1.238	1,0	1,0	0	0	0	1,0
1.7.1.2	1,0	0,66666667	1,0	0	0	1,0
2.4.1.236	1,0	1,0	0	0	0	1,0
2.4.1.234	1,0	1,0	0	0	0	1,0
1.14.13.119	1,0	1,0	0	0	0	1,0
1.14.13.115	1,0	0	0	0	0	1,0
1.7.7.1	1,0	0,83333333	0,83333333	0,66666667	0	1,0
2.1.1.212	1,0	1,0	0	0	0	1,0
4.2.1.2	1,0	1,0	1,0	1,0	0,5	1,0
2.1.1.216	1,0	1,0	1,0	1,0	0	0
3.4.23.12	1,0	0,5	0	0	0	0
1.2.3.4	1,0	1,0	0	0	0	1,0
1.2.3.7	0,83333333	1,0	0	0,5	0	0,83333333
1.2.3.1	0,66666667	0,66666667	0	0	0	1,0
3.5.4.5	1,0	1,0	1,0	1,0	0,42857143	1,0
1.2.1.9	1,0	1,0	1,0	1,0	0	1,0
1.2.1.8	1,0	0,9	1,0	0,5	0	1,0
1.2.1.3	0,92307692	0,30769231	0,76923077	0,69230769	0	0,92307692
4.2.1.19	1,0	1,0	1,0	1,0	1,0	1,0
1.4.3.5	1,0	1,0	1,0	0,5	0,5	1,0
2.3.1.95	1,0	1,0	0	0	0	0,88888889
4.2.1.11	1,0	0,85714286	0,85714286	0,85714286	0,71428571	1,0
2.3.1.97	1,0	1,0	1,0	0,5	0,5	1,0
2.3.1.91	1,0	0	0	1,0	0	1,0
2.3.1.93	1,0	1,0	0	0	0	1,0
4.2.1.17	0,14285714	0,71428571	0,71428571	0,57142857	0	1,0
3.6.1.53	1,0	1,0	1,0	1,0	0	0
4.2.3.28	1,0	1,0	0	0	0	1,0
3.6.1.55	0	1,0	1,0	1,0	0	0
1.14.14.18	1,0	1,0	0	0	0,25	1,0
4.2.3.23	0,85714286	0,85714286	0	0	0	1,0
1.14.14.17	1,0	1,0	1,0	0,77777778	0,11111111	1,0
4.2.3.21	1,0	0,5	0	0	0	1,0
4.2.3.20	0,66666667	1,0	0	0	0	1,0
4.2.3.27	1,0	1,0	1,0	0	0	1,0
4.2.3.26	1,0	1,0	0	0	0	1,0
4.2.3.25	0	0,6	0	0,2	0	1,0
2.1.1.103	1,0	1,0	1,0	0,66666667	0,33333333	1,0
1.14.13.71	1,0	1,0	0	0	0	1,0
1.14.13.70	1,0	1,0	1,0	1,0	0	1,0
1.14.13.73	1,0	0	0	0	0	1,0
1.14.13.77	1,0	1,0	0	0	0	1,0
1.14.13.76	1,0	1,0	0	0	0	1,0
1.14.13.79	1,0	1,0	1,0	0,5	0	0
1.14.13.78	1,0	1,0	1,0	0,5	0	1,0
1.3.1.92	1,0	1,0	1,0	0	0	0
1.3.1.93	1,0	1,0	1,0	1,0	0	1,0
1.3.1.94	1,0	1,0	1,0	0,83333333	0	0,66666667
1.3.1.99	1,0	1,0	0	0	0	0
3.5.4.19	1,0	1,0	1,0	1,0	0	1,0
3.5.4.16	1,0	0,66666667	1,0	1,0	0,33333333	1,0
3.6.2.1	0,25	0	0	0	0	0,75
1.13.11.70	0,5	1,0	1,0	0,5	0	1,0
1.1.99.2	1,0	0	0	0	0	1,0
1.1.1.133	1,0	1,0	0	0	0	1,0
4.1.3.17	0	1,0	0	0	0	1,0
2.7.7.23	0,5	1,0	1,0	1,0	0	1,0
2.7.7.27	1,0	0,90322581	0,93939394	0,72727273	0,3125	1,0
1.4.3.21	0,8	0,6	1,0	0,6	0,2	1,0
1.1.1.223	1,0	1,0	0	0	0	1,0
3.4.24.61	0	0	1,0	1,0	0	0
4.4.1.11	1,0	1,0	1,0	1,0	0	1,0
4.4.1.16	0	1,0	1,0	1,0	0	1,0
4.4.1.14	1,0	1,0	1,0	0,34782609	0	1,0
4.4.1.15	1,0	1,0	1,0	0,75	0	1,0
2.5.1.84	0,66666667	1,0	0,66666667	0,66666667	0	1,0
2.5.1.85	0,33333333	0,66666667	0,66666667	0,66666667	0	1,0
2.5.1.87	1,0	1,0	1,0	1,0	0	0
2.1.1.53	1,0	1,0	0	0	0	1,0
2.1.1.56	1,0	1,0	1,0	0,75	0	1,0
1.11.1.6	1,0	1,0	1,0	0,92682927	0,82926829	1,0
2.3.1.50	1,0	1,0	1,0	1,0	0	0,9
4.1.1.19	1,0	1,0	1,0	0,81818182	0,72727273	1,0
4.2.2.2	1,0	1,0	1,0	0,60526316	0	1,0
4.1.1.15	1,0	1,0	1,0	1,0	0,42857143	1,0
4.1.1.17	1,0	1,0	1,0	1,0	0	1,0
1.1.1.49	1,0	0,91666667	0,91666667	0,91666667	0,45454545	1,0
1.1.1.44	1,0	1,0	1,0	1,0	0,57142857	1,0
1.1.1.41	1,0	1,0	1,0	1,0	0	1,0
1.1.1.40	1,0	0,92857143	0,92857143	0,85714286	0	0,92307692
1.1.1.42	1,0	1,0	1,0	1,0	0,28571429	1,0
4.99.1.4	0	0	1,0	1,0	0	1,0
2.4.1.259	1,0	1,0	1,0	1,0	0	1,0
2.3.1.110	1,0	1,0	0	0	0	1,0
2.4.1.258	1,0	1,0	1,0	1,0	0	1,0
2.4.99.13	1,0	1,0	1,0	1,0	0	0
1.14.13.109	1,0	1,0	0	0	0	1,0
3.4.21.25	1,0	1,0	0	0	0	0
1.14.13.104	1,0	1,0	0	0	0	1,0
1.14.19.47	0	0	1,0	0	0	0
1.14.13.102	1,0	0,66666667	0	0	0	1,0
2.4.1.12	1,0	0,96	1,0	0,4	0	1,0
2.4.1.13	1,0	0,96875	1,0	0,1875	0,09375	1,0
2.4.1.14	1,0	1,0	1,0	0,44444444	0,16666667	1,0
2.4.1.15	1,0	1,0	1,0	1,0	0	1,0
2.4.1.17	1,0	1,0	0	0	0	1,0
2.4.1.18	1,0	1,0	1,0	0,875	0,25	1,0
2.1.1.267	1,0	1,0	0	0	0	0,5
2.4.1.324	1,0	1,0	1,0	0	0	0
2.4.1.323	1,0	1,0	1,0	0	0	1,0
3.5.99.10	1,0	1,0	1,0	1,0	0	0
2.3.1.61	1,0	1,0	0,66666667	0,66666667	0	1,0
5.1.2.3	1,0	1,0	0	0,2	0	1,0
2.4.2.9	1,0	1,0	0,28571429	0,28571429	0,28571429	1,0
3.6.1.25	1,0	1,0	0	0	1,0	1,0
3.6.1.21	1,0	1,0	1,0	1,0	0	1,0
3.6.1.22	1,0	1,0	0,14285714	0,14285714	0	0,85714286
3.6.1.23	1,0	1,0	1,0	1,0	0	1,0
4.2.3.16	0,25	1,0	0,25	0	0	1,0
4.2.3.17	1,0	1,0	0	0	0	1,0
