ECs	E2P2	PRIAM	KOALA	KAAS	INTERPRO	Blast2Go
3.4.14	0,08571429	1,0	1,0	1,0	1,0	0
3.1.2	0,95833333	1,0	1,0	1,0	1,0	0,77777778
3.1.1	0,89438944	0,91017964	0,87412587	0,77631579	0,84615385	0,89795918
3.4.17	0,83333333	1,0	1,0	1,0	0	0
3.1.7	0,8	1,0	0,33333333	0	0	0,22222222
1.6.99	0,07868852	1,0	0,95	0,69565217	0	0,01476015
5.3.99	0,83333333	1,0	1,0	1,0	0,42857143	0,78571429
3.1.4	0,72463768	1,0	0,88636364	0,84375	1,0	0,83333333
3.4.16	0,95744681	1,0	0,86764706	0,86440678	0,875	0
3.4.11	0,85714286	1,0	1,0	1,0	1,0	0
5.5.1	0,92857143	0,99009901	0,95555556	0,92857143	1,0	0,89795918
5.4.3	1,0	1,0	1,0	1,0	1,0	1,0
1.13.99	1,0	1,0	1,0	1,0	1,0	1,0
6.1.1	1,0	1,0	1,0	1,0	0,96	0,95238095
1.6.2	0,88888889	1,0	1,0	0,375	1,0	0,8
1.6.3	1,0	0	1,0	0,91666667	0	1,0
1.13.11	0,98913043	1,0	0,91	0,90196078	0,93478261	0,96153846
1.6.5	0,92209302	1,0	0,99917831	0,9969697	0,98984772	0,9893617
1.5.99	1,0	1,0	1,0	1,0	1,0	1,0
1.18.1	1,0	1,0	1,0	0,92857143	0	1,0
3.4.19	0,93103448	1,0	0,98181818	1,0	0,93333333	0,96296296
1.7.7	1,0	1,0	1,0	1,0	0	1,0
5.2.1	0,95348837	0,98701299	0,92424242	0,93548387	1,0	0,93506494
1.8.5	1,0	0	1,0	1,0	0	1,0
4.99.1	0,34782609	0,9	0,5	0,64285714	1,0	0,81818182
6.5.1	0,8	0,66666667	1,0	1,0	1,0	0,27777778
1.10.9	0,140625	1,0	1,0	1,0	1,0	1,0
3.5.5	0,9	1,0	1,0	1,0	0	1,0
3.5.4	0,89285714	0,92307692	0,80769231	0,84	0,88888889	0,77419355
1.10.2	0,4	1,0	1,0	1,0	0,71428571	0,37037037
1.10.3	0,67458432	1,0	0,99305556	1,0	0,88888889	0,97530864
3.5.1	0,70114943	0,97959184	0,93506494	0,92647059	0,625	0,725
1.16.1	1,0	1,0	1,0	1,0	0	1,0
1.16.3	1,0	1,0	1,0	0,93333333	1,0	1,0
4.3.2	0,5	1,0	1,0	1,0	1,0	1,0
4.3.3	0,64705882	0,93333333	0,89473684	0,94736842	0,57142857	0,64516129
4.3.1	1,0	1,0	1,0	1,0	1,0	0,98305085
3.7.1	0,875	1,0	1,0	1,0	1,0	1,0
3.5.3	1,0	1,0	1,0	0,92307692	1,0	0,83333333
2.8.2	1,0	1,0	1,0	1,0	1,0	1,0
2.8.1	0,78431373	1,0	1,0	1,0	1,0	0,88888889
5.4.4	1,0	1,0	0,75	0,5	1,0	1,0
3.3.1	1,0	1,0	1,0	1,0	1,0	1,0
4.1.1	0,99027778	1,0	0,99854862	0,99455535	1,0	0,97922438
4.1.2	1,0	1,0	0,91891892	0,92857143	1,0	0,95454545
4.1.3	1,0	1,0	1,0	0,93333333	1,0	1,0
5.4.99	0,98765432	0,96825397	0,95714286	1,0	1,0	0,93333333
3.13.1	1,0	1,0	1,0	1,0	0	1,0
1.16.5	0,5	0,5	0,5	0,5	0	0
1.21.3	0,625	0,83333333	0	0	0	0,71428571
3.1.3	0,91851852	0,97520661	0,93309859	0,92380952	0,90243902	0,82683983
1.14.99	1,0	1,0	1,0	1,0	1,0	0,5
2.7.2	1,0	1,0	1,0	0,91304348	1,0	0,86206897
1.11.2	0,90909091	0,90909091	0,90909091	1,0	0	1,0
1.11.1	0,97959184	1,0	0,99126638	0,99453552	1,0	0,87804878
6.2.1	1,0	1,0	0,92537313	0,90196078	0	0,98148148
3.6.1	0,73563218	0,98360656	0,92982456	0,9375	0,43902439	0,04363267
1.17.7	1,0	1,0	1,0	1,0	1,0	1,0
3.6.3	0,54281768	0,91421569	0,92987013	0,93351801	1,0	0,8125
3.6.4	0,62	0,98039216	0,97979798	0,98351648	0	0,04
3.6.5	0,25925926	1,0	0,48484848	0,32142857	0	0
4.2.99	0,78947368	1,0	0,8	0,8	0	1,0
1.14.18	0,8	1,0	0,66666667	0,66666667	0	0,55555556
1.14.19	1,0	1,0	0,98198198	1,0	1,0	0,98181818
2.2.1	0,88888889	0,88461538	0,88461538	0,875	0,66666667	0,88461538
